life_expectancy,state,median_income,unemployment,income_inequality,gender_pay_gap,disconnected_youth,adult_smoking,physical_inactivity,adult_obesity,diabetes_prevalence,food_insecurity,insufficient_sleep,pm25,primary_care_physicians,homeownership,severe_housing_cost_burden
76.727974453,WI,73861,0.0261807087,3.5232809296,0.791556857,0.0466559412,0.195,0.251,0.405,0.097,0.096,0.369,7.6,5.710255e-4,0.712594127,0.0966067864
76.412014051,WI,73372,0.043485801,4.4304452306,0.7398757726,0.0553097345,0.142,0.185,0.404,0.085,0.122,0.339,5.7,2.488519e-4,0.7214334723,0.1031005662
78.748994752,WI,72806,0.0270532513,3.7400327074,0.7655238315,0.0293704328,0.158,0.222,0.358,0.086,0.107,0.373,7.7,0.0014184797,0.6283488592,0.0994167176
78.020845347,WI,63246,0.0290949888,3.8947746571,0.8633347081,0.0505705394,0.188,0.242,0.405,0.098,0.106,0.359,8.2,4.221838e-4,0.6908552202,0.1012651637
76.41603539,WI,61023,0.0389075539,4.1485560538,0.8936952,0.1098790323,0.187,0.239,0.445,0.095,0.121,0.364,7.7,8.995786e-4,0.7744571847,0.1208987616
78.037468907,WI,82356,0.0275588847,3.7327098334,0.8157473368,0.0756635643,0.145,0.197,0.396,0.083,0.094,0.317,9,3.884958e-4,0.7291829923,0.097009612
76.03598122,WI,63587,0.0319047269,3.9595371693,0.7568049309,0.1031746032,0.199,0.235,0.396,0.101,0.128,0.343,7.9,7.46213e-4,0.7771703882,0.1007759364
76.73401789,WI,75699,0.0343950574,4.2394000169,0.8050638279,0.0581932773,0.193,0.238,0.432,0.102,0.109,0.366,7.1,4.919043e-4,0.6763614319,0.1324850979
78.857685737,WI,71260,0.0256471324,4.1787163639,0.7988688049,0.0324257426,0.145,0.182,0.346,0.086,0.103,0.33,7.7,0.0013949665,0.6248540846,0.1287130708
75.864859716,WI,71871,0.0321697467,4.3096972698,0.8346293416,0.1091073039,0.175,0.235,0.403,0.09,0.111,0.343,7,4.905224e-4,0.7840674193,0.0828611316
78.003617118,WI,69652,0.0300230947,3.8004341711,0.7913864287,0.07327036,0.168,0.205,0.435,0.087,0.105,0.364,7.7,4.662291e-4,0.7629948905,0.0819312363
78.402559565,WI,74505,0.0274241883,3.7909895141,0.8036173994,0.0556645045,0.145,0.203,0.359,0.083,0.098,0.312,7.8,9.44438e-4,0.7341620804,0.0879760131
74.340074598,WI,63304,0.0376525338,4.8614321412,0.8653739519,0.0737338378,0.171,0.233,0.394,0.111,0.128,0.364,9.1,7.704252e-4,0.4980413627,0.1683188573
76.905849539,WI,63372,0.0267928834,3.8135964227,0.820318527,0.0923539519,0.17,0.226,0.387,0.092,0.114,0.321,8,6.278007e-4,0.7239455112,0.0955228982
78.480861838,WI,69599,0.0326217896,3.762832618,0.7673688929,0.049132948,0.191,0.239,0.399,0.096,0.099,0.329,7.2,3.04909e-4,0.8452882417,0.075248139
79.0206435,WI,86098,0.0258032233,3.6399002494,0.7428754451,0.0454119363,0.166,0.212,0.395,0.088,0.09,0.327,7.5,9.03182e-4,0.717396652,0.0711726961
79.787843544,WI,95522,0.0348126708,3.8798539167,0.8042664561,0.0363578881,0.171,0.206,0.347,0.086,0.092,0.35,7.4,3.757015e-4,0.7577545195,0.0994700103
75.831468032,WI,74555,0.0355180593,4.0552870786,0.8318081169,0.0892047173,0.185,0.245,0.4,0.102,0.107,0.373,9,4.317e-4,0.7114614014,0.1162886864
78.478652867,WI,60639,0.0301689917,4.1674290942,0.8643002652,0.0968783638,0.187,0.221,0.418,0.094,0.122,0.349,8,7.55287e-4,0.7649950836,0.101968851
76.310749147,WI,73656,0.0338885438,3.778732047,0.8337634117,0.0620930233,0.178,0.24,0.381,0.091,0.108,0.382,9.3,5.11008e-4,0.706445418,0.1032921495
76.329843746,WI,58513,0.0372807018,4.1410386392,0.7543379333,0.1598513011,0.18,0.224,0.368,0.094,0.12,0.331,6.5,4.956454e-4,0.7752037067,0.1153781654
79.764712155,WI,103731,0.0352614038,3.4499425082,0.8119676264,0.0218522373,0.113,0.166,0.336,0.073,0.084,0.313,7.3,5.260721e-4,0.7893490158,0.0901908787
77.67151954,WI,79349,0.0264679211,3.6843303437,0.8444978455,0.1149849145,0.187,0.219,0.396,0.092,0.103,0.353,7.4,0.0010046121,0.731230629,0.0934997206
78.105228936,WI,73970,0.0246294403,3.522067054,0.8097560196,0.0466229392,0.142,0.187,0.405,0.085,0.093,0.326,7.7,6.114805e-4,0.7126815846,0.0789962442
79.234309108,WI,65125,0.037210172,3.5908118665,0.851487363,0.1010486177,0.2,0.244,0.407,0.094,0.101,0.344,6.2,2.509662e-4,0.7916404381,0.0875912409
79.36569794,WI,69119,0.034562212,3.4489881019,0.8059542704,0.0785762257,0.177,0.214,0.391,0.089,0.095,0.354,7.8,2.603828e-4,0.7378695373,0.0840711626
77.767369066,WI,69389,0.0281911755,4.14724501,0.8066839378,0.2013301088,0.185,0.228,0.404,0.091,0.114,0.323,8.1,0.0010350962,0.8107664533,0.0942542474
78.042463953,WI,76573,0.0292480758,4.0919082865,0.7495929819,0.0440975905,0.147,0.194,0.333,0.083,0.099,0.331,9.1,4.307156e-4,0.7057631114,0.1227280428
